match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder,season
308,2,Mumbai Indians,Chennai Super Kings,3,1,RE Levi,SR Tendulkar,JA Morkel,0,0,0,0,0,0,1,0,1,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,3,2,SR Tendulkar,RE Levi,JA Morkel,0,1,0,0,0,0,0,1,1,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,3,3,SR Tendulkar,RE Levi,JA Morkel,0,0,0,0,0,0,4,0,4,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,3,4,SR Tendulkar,RE Levi,JA Morkel,0,0,0,0,0,0,0,0,0,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,3,5,SR Tendulkar,RE Levi,JA Morkel,0,0,0,0,0,0,6,0,6,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,3,6,SR Tendulkar,RE Levi,JA Morkel,0,0,0,0,0,0,0,0,0,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,3,7,SR Tendulkar,RE Levi,JA Morkel,0,0,0,0,0,0,0,0,0,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,4,1,RE Levi,SR Tendulkar,DE Bollinger,0,0,0,0,0,0,4,0,4,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,4,2,RE Levi,SR Tendulkar,DE Bollinger,0,0,0,0,0,0,0,0,0,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,4,3,RE Levi,SR Tendulkar,DE Bollinger,0,0,0,0,0,0,1,0,1,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,4,4,SR Tendulkar,RE Levi,DE Bollinger,0,0,0,0,0,0,1,0,1,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,4,5,RE Levi,SR Tendulkar,DE Bollinger,0,0,0,0,0,0,4,0,4,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,4,6,RE Levi,SR Tendulkar,DE Bollinger,0,0,0,1,0,0,0,1,1,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,5,1,RE Levi,SR Tendulkar,R Ashwin,0,0,0,0,0,0,1,0,1,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,5,2,SR Tendulkar,RE Levi,R Ashwin,0,0,0,0,0,0,1,0,1,,,,2012
308,2,Mumbai Indians,Chennai Super Kings,5,3,RE Levi,SR Tendulkar,R Ashwin,0,0,0,0,0,0,0,0,0,,,,2012
